"","Ave","Nombre_Nido","Distancia_Trampa","Fecha Instalacion","Orientacion Trampa","Horas totales de exposicion","Vespa velutina","Vespula vulgaris","Vespula germanica","Vespula","Periodo","TCVL","TCVP","TCV","Ano"
"518","Azor","Borrateiros",1000,"2022-08-19","SE",179.31667,46,4,1,5,"4",0.256529417232085,0.0278836323078353,0.284413049539921,2022
"519","Azor","Carregal",0,"2022-08-19","Nido",179.43333,80,5,1,6,"4",0.445848040126323,0.0334386030094743,0.479286643135798,2022
"520","Azor","Carregal",500,"2022-08-19","N",179.80000,170,3,0,3,"4",0.945494994438264,0.0166852057842047,0.962180200222468,2022
"521","Azor","Carregal",500,"2022-08-19","SO",179.35000,124,7,5,12,"4",0.691385558962922,0.0669082798996376,0.75829383886256,2022
"522","Azor","Carregal",500,"2022-08-19","E",179.51667,62,12,1,13,"4",0.345371831770494,0.0724166744034908,0.417788506173985,2022
"523","Azor","Carregal",1000,"2022-08-19","O",179.23333,133,4,0,4,"4",0.742049469964663,0.0223172772921703,0.764366747256834,2022
"524","Azor","Carregal",1000,"2022-08-19","NE",179.60000,146,0,0,0,"4",0.81291759465479,0,0.81291759465479,2022
"525","Azor","Carregal",1000,"2022-08-19","S",179.11667,41,1,0,1,"4",0.22890108867591,0.00558295338233926,0.234484042058249,2022
"526","Azor","Zacande",0,"2022-08-19","Nido",180.05000,63,3,0,3,"4",0.349902804776451,0.0166620383226881,0.366564843099139,2022
"527","Azor","Zacande",500,"2022-08-19","SE",179.96667,76,6,0,6,"4",0.422300426004816,0.0333395073161697,0.455639933320986,2022
"528","Azor","Zacande",500,"2022-08-19","SO",180.28333,35,2,0,2,"4",0.194138855505223,0.0110936488860128,0.205232504391236,2022
"529","Azor","Zacande",500,"2022-08-19","N",181.35000,36,5,0,5,"4",0.198511166253102,0.0275709953129308,0.226082161566032,2022
"530","Azor","Zacande",1000,"2022-08-19","S",179.83333,71,4,0,4,"4",0.394810009267841,0.0222428174235404,0.417052826691382,2022
"531","Azor","Zacande",1000,"2022-08-19","NE",181.45000,57,14,0,14,"4",0.31413612565445,0.0771562413888123,0.391292367043263,2022
"532","Azor","Zacande",1000,"2022-08-19","NO",180.36667,20,4,0,4,"4",0.110885233783034,0.0221770467566069,0.133062280539641,2022
